# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/promoters/noncgi_enh_broad.bed data/promoters/noncgi_enh_broad_rand-neg0.bed 2016-09-28 13:41:14.668553
#
#
#

spectrum6
F1                   0.835 (10)
WRACC                0.660 (10)
accuracy             0.830 (10)
balanced_err         0.170 (10)
cross_corr           0.662 (10)
error_rate           0.170 (10)
pr_auc               0.885 (10)
precision            0.813 (10)
recall               0.858 (10)
roc_auc              0.900 (10)
specificity          0.802 (10)

